 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           0       0.000           0
     0     0     2           0       0.000           0
     0     0     3           0       0.000           0
     0     0     4           0       0.000           0
     0     0     5           0       0.000           0
     0     0     6           0       0.000           0
     0     0     7           0       0.000           0
     0     0     8           0       0.000           0
     0     0     9           0       0.000           0
     0     0    10           0       0.000           0
     0     0    11           0       0.000           0
     0     0    12           0       0.000           0
     0     0    13           0       0.000           0
     0     0    14           0       0.000           0
     0     0    15           0       0.000           0
     0     0    16           0       0.000           0
     0     0    17           0       0.000           0
     0     0    18           0       0.000           0
     0     1     0          27      19.853         136
     0     1     1          35      25.735         136
     0     1     2          34      25.000         136
     0     1     3          36      26.471         136
     0     1     4          37      27.206         136
     0     1     5          49      36.029         136
     0     1     6          52      38.235         136
     0     1     7          52      38.235         136
     0     1     8          28      20.588         136
     0     1     9          39      28.676         136
     0     1    10          39      28.676         136
     0     1    11          38      27.941         136
     0     1    12          23      16.912         136
     0     1    13          16      11.765         136
     0     1    14          19      13.971         136
     0     1    15           9       6.618         136
     0     1    16           4       2.941         136
     0     1    17           1       0.735         136
     0     1    18           3       2.206         136
     0     2     0          31      22.794         136
     0     2     1          36      26.471         136
     0     2     2          38      27.941         136
     0     2     3          38      27.941         136
     0     2     4          50      36.765         136
     0     2     5          61      44.853         136
     0     2     6          65      47.794         136
     0     2     7          57      41.912         136
     0     2     8          33      24.265         136
     0     2     9          41      30.147         136
     0     2    10          43      31.618         136
     0     2    11          42      30.882         136
     0     2    12          25      18.382         136
     0     2    13          21      15.441         136
     0     2    14          20      14.706         136
     0     2    15          13       9.559         136
     0     2    16           5       3.676         136
     0     2    17           1       0.735         136
     0     2    18           4       2.941         136
     0     3     0          35      25.735         136
     0     3     1          29      21.324         136
     0     3     2          29      21.324         136
     0     3     3          35      25.735         136
     0     3     4          48      35.294         136
     0     3     5          57      41.912         136
     0     3     6          66      48.529         136
     0     3     7          52      38.235         136
     0     3     8          28      20.588         136
     0     3     9          40      29.412         136
     0     3    10          33      24.265         136
     0     3    11          35      25.735         136
     0     3    12          24      17.647         136
     0     3    13          20      14.706         136
     0     3    14          18      13.235         136
     0     3    15          12       8.824         136
     0     3    16           4       2.941         136
     0     3    17           1       0.735         136
     0     3    18           5       3.676         136
     0     4     0          47      34.559         136
     0     4     1          28      20.588         136
     0     4     2          34      25.000         136
     0     4     3          40      29.412         136
     0     4     4          55      40.441         136
     0     4     5          63      46.324         136
     0     4     6          71      52.206         136
     0     4     7          58      42.647         136
     0     4     8          41      30.147         136
     0     4     9          45      33.088         136
     0     4    10          43      31.618         136
     0     4    11          40      29.412         136
     0     4    12          31      22.794         136
     0     4    13          29      21.324         136
     0     4    14          22      16.176         136
     0     4    15           8       5.882         136
     0     4    16           4       2.941         136
     0     4    17           1       0.735         136
     0     4    18           4       2.941         136
     0     5     0          52      38.235         136
     0     5     1          25      18.382         136
     0     5     2          29      21.324         136
     0     5     3          37      27.206         136
     0     5     4          55      40.441         136
     0     5     5          61      44.853         136
     0     5     6          65      47.794         136
     0     5     7          54      39.706         136
     0     5     8          47      34.559         136
     0     5     9          52      38.235         136
     0     5    10          46      33.824         136
     0     5    11          48      35.294         136
     0     5    12          41      30.147         136
     0     5    13          31      22.794         136
     0     5    14          23      16.912         136
     0     5    15           9       6.618         136
     0     5    16           9       6.618         136
     0     5    17           2       1.471         136
     0     5    18           5       3.676         136
     0     6     0          56      41.176         136
     0     6     1          23      16.912         136
     0     6     2          29      21.324         136
     0     6     3          40      29.412         136
     0     6     4          51      37.500         136
     0     6     5          65      47.794         136
     0     6     6          67      49.265         136
