 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1          35      25.735         136
     0     0     2          46      33.824         136
     0     0     3          51      37.500         136
     0     0     4          60      44.118         136
     0     0     5          75      55.147         136
     0     0     6          83      61.029         136
     0     0     7          88      64.706         136
     0     0     8          87      63.971         136
     0     0     9          82      60.294         136
     0     0    10          67      49.265         136
     0     0    11          62      45.588         136
     0     0    12          49      36.029         136
     0     0    13          36      26.471         136
     0     0    14          28      20.588         136
     0     0    15          12       8.824         136
     0     0    16           6       4.412         136
     0     0    17           2       1.471         136
     0     0    18           0       0.000         136
     0     0    19           0       0.000           0
     0     1     0           0       0.000           0
     0     1     1          28      20.588         136
     0     1     2          35      25.735         136
     0     1     3          36      26.471         136
     0     1     4          44      32.353         136
     0     1     5          56      41.176         136
     0     1     6          66      48.529         136
     0     1     7          71      52.206         136
     0     1     8          67      49.265         136
     0     1     9          65      47.794         136
     0     1    10          57      41.912         136
     0     1    11          53      38.971         136
     0     1    12          42      30.882         136
     0     1    13          28      20.588         136
     0     1    14          19      13.971         136
     0     1    15           9       6.618         136
     0     1    16           5       3.676         136
     0     1    17           3       2.206         136
     0     1    18           1       0.735         136
     0     1    19           0       0.000           0
     0     2     0           0       0.000           0
     0     2     1          30      22.059         136
     0     2     2          42      30.882         136
     0     2     3          52      38.235         136
     0     2     4          60      44.118         136
     0     2     5          68      50.000         136
     0     2     6          71      52.206         136
     0     2     7          76      55.882         136
     0     2     8          76      55.882         136
     0     2     9          72      52.941         136
     0     2    10          64      47.059         136
     0     2    11          56      41.176         136
     0     2    12          45      33.088         136
     0     2    13          36      26.471         136
     0     2    14          28      20.588         136
     0     2    15          19      13.971         136
     0     2    16          12       8.824         136
     0     2    17           8       5.882         136
     0     2    18           7       5.147         136
     0     2    19           0       0.000           0
     0     3     0           0       0.000           0
     0     3     1          23      16.912         136
     0     3     2          34      25.000         136
     0     3     3          47      34.559         136
     0     3     4          54      39.706         136
     0     3     5          68      50.000         136
     0     3     6          80      58.824         136
     0     3     7          87      63.971         136
     0     3     8          83      61.029         136
     0     3     9          72      52.941         136
     0     3    10          57      41.912         136
     0     3    11          50      36.765         136
     0     3    12          44      32.353         136
     0     3    13          38      27.941         136
     0     3    14          30      22.059         136
     0     3    15          14      10.294         136
     0     3    16           7       5.147         136
     0     3    17           4       2.941         136
     0     3    18           2       1.471         136
     0     3    19           0       0.000           0
     0     4     0           0       0.000           0
     0     4     1          20      14.706         136
     0     4     2          35      25.735         136
     0     4     3          49      36.029         136
     0     4     4          63      46.324         136
     0     4     5          68      50.000         136
     0     4     6          75      55.147         136
     0     4     7          74      54.412         136
     0     4     8          68      50.000         136
     0     4     9          70      51.471         136
     0     4    10          57      41.912         136
     0     4    11          53      38.971         136
     0     4    12          48      35.294         136
     0     4    13          35      25.735         136
     0     4    14          28      20.588         136
     0     4    15          16      11.765         136
     0     4    16          12       8.824         136
     0     4    17           8       5.882         136
     0     4    18           5       3.676         136
     0     4    19           0       0.000           0
     0     5     0           0       0.000           0
     0     5     1          45      33.088         136
     0     5     2          65      47.794         136
     0     5     3          64      47.059         136
     0     5     4          73      53.676         136
     0     5     5          74      54.412         136
     0     5     6          68      50.000         136
     0     5     7          74      54.412         136
     0     5     8          70      51.471         136
     0     5     9          71      52.206         136
     0     5    10          56      41.176         136
     0     5    11          42      30.882         136
     0     5    12          37      27.206         136
     0     5    13          29      21.324         136
     0     5    14          25      18.382         136
     0     5    15          22      16.176         136
     0     5    16          20      14.706         136
     0     5    17          13       9.559         136
     0     5    18          11       8.088         136
     0     5    19           0       0.000           0
     0     6     0           0       0.000           0
     0     6     1          68      50.000         136
     0     6     2          78      57.353         136
     0     6     3          90      66.176         136
     0     6     4          88      64.706         136
     0     6     5          82      60.294         136
     0     6     6          84      61.765         136
     0     6     7          78      57.353         136
     0     6     8          79      58.088         136
     0     6     9          80      58.824         136
     0     6    10          73      53.676         136
     0     6    11          67      49.265         136
     0     6    12          52      38.235         136
     0     6    13          36      26.471         136
