 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           0       0.000           0
     0     0     2           0       0.000           0
     0     0     3           0       0.000           0
     0     0     4           0       0.000           0
     0     0     5           0       0.000           0
     0     0     6           0       0.000           0
     0     0     7           0       0.000           0
     0     0     8           0       0.000           0
     0     0     9           0       0.000           0
     0     0    10           0       0.000           0
     0     0    11           0       0.000           0
     0     0    12           0       0.000           0
     0     0    13           0       0.000           0
     0     0    14           0       0.000           0
     0     0    15           0       0.000           0
     0     0    16           0       0.000           0
     0     0    17           0       0.000           0
     0     0    18           0       0.000           0
     0     0    19           0       0.000           0
     0     0    20           0       0.000           0
     0     0    21           0       0.000           0
     0     0    22           0       0.000           0
     0     0    23           0       0.000           0
     0     0    24           0       0.000           0
     0     0    25           0       0.000           0
     0     0    26           0       0.000           0
     0     0    27           0       0.000           0
     0     0    28           0       0.000           0
     0     0    29           0       0.000           0
     0     0    30           0       0.000           0
     0     0    31           0       0.000           0
     0     0    32           0       0.000           0
     0     0    33           0       0.000           0
     0     0    34           0       0.000           0
     0     1     0           3       2.055         146
     0     1     1           1       0.685         146
     0     1     2           4       2.740         146
     0     1     3           6       4.110         146
     0     1     4           6       4.110         146
     0     1     5           7       4.795         146
     0     1     6           7       4.795         146
     0     1     7          13       8.904         146
     0     1     8           6       4.110         146
     0     1     9           5       3.425         146
     0     1    10           5       3.425         146
     0     1    11           2       1.370         146
     0     1    12          13       8.904         146
     0     1    13           9       6.164         146
     0     1    14           6       4.110         146
     0     1    15          17      11.644         146
     0     1    16          21      14.384         146
     0     1    17          27      18.493         146
     0     1    18          22      15.068         146
     0     1    19          39      26.712         146
     0     1    20          46      31.507         146
     0     1    21          41      28.082         146
     0     1    22          36      24.658         146
     0     1    23          39      26.712         146
     0     1    24          42      28.767         146
     0     1    25          42      28.767         146
     0     1    26          34      23.288         146
     0     1    27          23      15.753         146
     0     1    28          19      13.014         146
     0     1    29          15      10.274         146
     0     1    30           7       4.795         146
     0     1    31           4       2.740         146
     0     1    32           4       2.740         146
     0     1    33           3       2.055         146
     0     1    34           4       2.740         146
     0     2     0          12       8.219         146
     0     2     1           1       0.685         146
     0     2     2           5       3.425         146
     0     2     3          13       8.904         146
     0     2     4          10       6.849         146
     0     2     5          17      11.644         146
     0     2     6          14       9.589         146
     0     2     7          25      17.123         146
     0     2     8          17      11.644         146
     0     2     9          13       8.904         146
     0     2    10          11       7.534         146
     0     2    11           7       4.795         146
     0     2    12          15      10.274         146
     0     2    13          16      10.959         146
     0     2    14          15      10.274         146
     0     2    15          20      13.699         146
     0     2    16          24      16.438         146
     0     2    17          30      20.548         146
     0     2    18          28      19.178         146
     0     2    19          43      29.452         146
     0     2    20          53      36.301         146
     0     2    21          48      32.877         146
     0     2    22          40      27.397         146
     0     2    23          42      28.767         146
     0     2    24          43      29.452         146
     0     2    25          44      30.137         146
     0     2    26          36      24.658         146
     0     2    27          30      20.548         146
     0     2    28          33      22.603         146
     0     2    29          25      17.123         146
     0     2    30          19      13.014         146
     0     2    31           9       6.164         146
     0     2    32           8       5.479         146
     0     2    33           4       2.740         146
     0     2    34           7       4.795         146
     0     3     0          19      13.014         146
     0     3     1           2       1.370         146
     0     3     2           8       5.479         146
     0     3     3          12       8.219         146
     0     3     4          12       8.219         146
     0     3     5          21      14.384         146
     0     3     6          15      10.274         146
     0     3     7          34      23.288         146
     0     3     8          20      13.699         146
     0     3     9          18      12.329         146
     0     3    10          12       8.219         146
     0     3    11          13       8.904         146
     0     3    12          16      10.959         146
     0     3    13          18      12.329         146
     0     3    14          15      10.274         146
     0     3    15          19      13.014         146
