 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           0       0.000         146
     0     0     2           3       2.055         146
     0     0     3           6       4.110         146
     0     0     4          10       6.849         146
     0     0     5          11       7.534         146
     0     0     6           8       5.479         146
     0     0     7           6       4.110         146
     0     0     8           6       4.110         146
     0     0     9           9       6.164         146
     0     0    10          10       6.849         146
     0     0    11           9       6.164         146
     0     0    12           8       5.479         146
     0     0    13           6       4.110         146
     0     0    14          10       6.849         146
     0     0    15          15      10.274         146
     0     0    16          21      14.384         146
     0     0    17          33      22.603         146
     0     0    18          47      32.192         146
     0     0    19          60      41.096         146
     0     0    20          72      49.315         146
     0     0    21          83      56.849         146
     0     0    22          86      58.904         146
     0     0    23          85      58.219         146
     0     0    24          90      61.644         146
     0     0    25          80      54.795         146
     0     0    26          72      49.315         146
     0     0    27          62      42.466         146
     0     0    28          40      27.397         146
     0     0    29          30      20.548         146
     0     0    30          19      13.014         146
     0     0    31          14       9.589         146
     0     0    32          12       8.219         146
     0     0    33           8       5.479         146
     0     0    34           6       4.110         146
     0     0    35           0       0.000           0
     0     1     0           0       0.000           0
     0     1     1           6       4.110         146
     0     1     2           7       4.795         146
     0     1     3           9       6.164         146
     0     1     4          12       8.219         146
     0     1     5          15      10.274         146
     0     1     6          17      11.644         146
     0     1     7          17      11.644         146
     0     1     8          13       8.904         146
     0     1     9          13       8.904         146
     0     1    10          10       6.849         146
     0     1    11           9       6.164         146
     0     1    12          12       8.219         146
     0     1    13          11       7.534         146
     0     1    14          15      10.274         146
     0     1    15          18      12.329         146
     0     1    16          17      11.644         146
     0     1    17          26      17.808         146
     0     1    18          35      23.973         146
     0     1    19          49      33.562         146
     0     1    20          59      40.411         146
     0     1    21          61      41.781         146
     0     1    22          69      47.260         146
     0     1    23          69      47.260         146
     0     1    24          69      47.260         146
     0     1    25          70      47.945         146
     0     1    26          63      43.151         146
     0     1    27          53      36.301         146
     0     1    28          41      28.082         146
     0     1    29          30      20.548         146
     0     1    30          16      10.959         146
     0     1    31           7       4.795         146
     0     1    32           5       3.425         146
     0     1    33           0       0.000         146
     0     1    34           0       0.000         146
     0     1    35           0       0.000           0
     0     2     0           0       0.000           0
     0     2     1           2       1.370         146
     0     2     2           7       4.795         146
     0     2     3          10       6.849         146
     0     2     4          17      11.644         146
     0     2     5          20      13.699         146
     0     2     6          18      12.329         146
     0     2     7          21      14.384         146
     0     2     8          21      14.384         146
     0     2     9          22      15.068         146
     0     2    10          23      15.753         146
