 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           0       0.000         156
     0     0     2           0       0.000         156
     0     0     3           0       0.000         156
     0     0     4           0       0.000         156
     0     0     5           0       0.000         156
     0     0     6           0       0.000         156
     0     0     7           0       0.000         156
     0     0     8           0       0.000         156
     0     0     9           0       0.000         156
     0     0    10           0       0.000         156
     0     0    11           0       0.000         156
     0     0    12           0       0.000         156
     0     0    13           0       0.000         156
     0     0    14           0       0.000         156
     0     0    15           0       0.000         156
     0     0    16           0       0.000         156
     0     0    17           0       0.000         156
     0     0    18           0       0.000         156
     0     0    19           0       0.000         156
     0     0    20           0       0.000         156
     0     0    21           0       0.000         156
     0     0    22           0       0.000         156
     0     0    23           0       0.000         156
     0     0    24           0       0.000         156
     0     0    25           0       0.000         156
     0     0    26           0       0.000         156
     0     0    27           0       0.000         156
     0     0    28           0       0.000         156
     0     0    29           1       0.641         156
     0     0    30           1       0.641         156
     0     0    31           1       0.641         156
     0     0    32           1       0.641         156
     0     0    33           1       0.641         156
     0     0    34           1       0.641         156
     0     0    35           1       0.641         156
     0     0    36           1       0.641         156
     0     0    37           1       0.641         156
     0     0    38           1       0.641         156
     0     0    39           1       0.641         156
     0     0    40           1       0.641         156
     0     0    41           1       0.641         156
     0     0    42           1       0.641         156
     0     0    43           1       0.641         156
     0     0    44           2       1.282         156
     0     0    45           2       1.282         156
     0     0    46           3       1.923         156
     0     0    47           3       1.923         156
     0     0    48           4       2.564         156
     0     0    49           5       3.205         156
     0     0    50           5       3.205         156
     0     0    51           7       4.487         156
     0     0    52          10       6.410         156
     0     0    53          14       8.974         156
     0     0    54          16      10.256         156
     0     0    55          20      12.821         156
     0     0    56          16      10.256         156
     0     0    57          15       9.615         156
     0     0    58          16      10.256         156
     0     0    59          12       7.692         156
     0     0    60          12       7.692         156
     0     0    61          11       7.051         156
     0     0    62           8       5.128         156
     0     0    63           7       4.487         156
     0     0    64           6       3.846         156
     0     0    65           4       2.564         156
     0     0    66           4       2.564         156
     0     0    67           3       1.923         156
     0     0    68           3       1.923         156
     0     0    69           2       1.282         156
     0     0    70           2       1.282         156
     0     0    71           2       1.282         156
     0     0    72           2       1.282         156
     0     0    73           2       1.282         156
     0     0    74           2       1.282         156
     0     0    75           2       1.282         156
     0     0    76           2       1.282         156
     0     0    77           1       0.641         156
     0     0    78           0       0.000         156
     0     0    79           0       0.000         156
